nuevocodigo,eliminar,id,alterno,alterno2,descripcion,sustancia,unidad,gramaje,presentacion,plista,dctoprov,arancel,mcom,madm,costoreal,m1,m2,m3,p1,p2,p3,familia,nombrefamilia,clase,nombreclase,linea,nombrelinea,fecha,alta,impuesto,m4,m5,m6,p4,p5,p6,entero,autocant,minimo,maximo,imagen,existencia,ultcompra,ultventa,proveedor,nombre
,,40-PC4N120180CR,PC4N120180CR,30265802,BRISA PLUS 1.20 X 180 CRISTAL,,PZA,3,PZA,264.82,0.00,0.00,0.00,0.00,264.82,26.00,24.00,24.00,415.12,404.20,404.20,4,PLASTICOS,15,PLASTICOS,50,PLASTICOS LABRADOS,12/18/2024,6/25/2025,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,40-PC4N120180CR,0.00,,1/16/2026,6,"PLASTICOS ESPECIALES GAREN, S A DE C V"
,,40-PC4N120180HU,PC4N120180HU,30265802,BRISA PLUS 1.20 X 180 HUMO,,PZA,3,PZA,264.82,0.00,0.00,0.00,0.00,264.82,26.00,24.00,24.00,415.12,404.20,404.20,4,PLASTICOS,15,PLASTICOS,50,PLASTICOS LABRADOS,12/18/2024,04-06-25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,40-PC4N120180HU,0.00,,02-07-25,6,"PLASTICOS ESPECIALES GAREN, S A DE C V"
,,40-PC4N120180VC,PC4N120180VC,30265802,BRISA PLUS 1.20 X 180 VERDE CRISTAL,,PZA,3,PZA,264.82,0.00,0.00,0.00,0.00,264.82,26.00,24.00,24.00,415.12,404.20,404.20,4,PLASTICOS,15,PLASTICOS,50,PLASTICOS LABRADOS,02-10-24,10-12-25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,40-PC4N120180VC,0.00,,10-12-25,6,"PLASTICOS ESPECIALES GAREN, S A DE C V"
,,40-PC4N70180CR,PC4N70180CR,30265802,BRISA PLUS 70 X 180 CRISTAL,,PZA,3,PZA,185.33,0.00,0.00,0.00,0.00,185.33,26.00,24.00,24.00,290.52,282.87,282.87,4,PLASTICOS,15,PLASTICOS,50,PLASTICOS LABRADOS,03-12-24,05-04-25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,40-PC4N70180CR,0.00,,12/26/2025,6,"PLASTICOS ESPECIALES GAREN, S A DE C V"
,,40-PC4N70180HU,PC4N70180HU,30265802,BRISA PLUS 70 X 180 HUMO,,PZA,3,PZA,185.33,0.00,0.00,0.00,0.00,185.33,26.00,24.00,24.00,290.52,282.87,282.87,4,PLASTICOS,15,PLASTICOS,50,PLASTICOS LABRADOS,12/18/2024,3/25/2011,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,40-PC4N70180HU,0.00,,,6,"PLASTICOS ESPECIALES GAREN, S A DE C V"
,,40-PC4N70180VC,PC4N70180VC,30265802,BRISA PLUS 70 X 180 VERDE CRISTAL,,PZA,3,PZA,185.33,0.00,0.00,0.00,0.00,185.33,26.00,24.00,24.00,290.52,282.87,282.87,4,PLASTICOS,15,PLASTICOS,50,PLASTICOS LABRADOS,11/23/2024,08-04-25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,40-PC4N70180VC,0.00,,11/27/2025,6,"PLASTICOS ESPECIALES GAREN, S A DE C V"
,,40-PC4N80180CR,PC4N80180CR,30265802,BRISA PLUS 80 X 180 CRISTAL,,PZA,3,PZA,211.62,0.00,0.00,0.00,0.00,211.62,26.00,24.00,24.00,331.73,323.00,323.00,4,PLASTICOS,15,PLASTICOS,50,PLASTICOS LABRADOS,12/24/2024,05-04-25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,40-PC4N80180CR,0.00,,11/27/2025,6,"PLASTICOS ESPECIALES GAREN, S A DE C V"
,,40-PC4N80180HU,PC4N80180HU,30265802,BRISA PLUS 80 X 180 HUMO,,PZA,3,PZA,211.62,0.00,0.00,0.00,0.00,211.62,26.00,24.00,24.00,331.73,323.00,323.00,4,PLASTICOS,15,PLASTICOS,50,PLASTICOS LABRADOS,02-10-24,05-05-25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,40-PC4N80180HU,0.00,,05-05-25,6,"PLASTICOS ESPECIALES GAREN, S A DE C V"
,,40-PC4N80180VC,PC4N80180VC,30265802,BRISA PLUS 80 X 180 VERDE CRISTAL,,PZA,3,PZA,211.62,0.00,0.00,0.00,0.00,211.62,26.00,24.00,24.00,331.73,323.00,323.00,4,PLASTICOS,15,PLASTICOS,50,PLASTICOS LABRADOS,11-10-24,02-04-25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,40-PC4N80180VC,0.00,,11/14/2025,6,"PLASTICOS ESPECIALES GAREN, S A DE C V"
,,320-421100100,421100100,1010101,"BROCA 6,MM LARGO 5X12X60X8 PUNTA PARA COPIADORA FR222",,PZA,4,PZA,359.12,5.00,0.00,0.00,0.00,341.16,27.00,25.00,25.00,542.12,527.67,527.67,3,HERRAJES,14,HERRAJES,84,HERRAJE P/VIDRIO,03-12-25,03-12-25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,320-106B-2608550610,0.00,,,26,"HERRALUM INDUSTRIAL, S.A. DE C.V."
